Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Top 5 Accuracy,Balanced Accuracy,TT (Sec),Dataset
CatBoost Classifier,0.2152,0.666,0.2152,0.1343,0.1556,0.1238,0.1292,0,0.0689,84.818,UMAP01_noPMA_100Features
Logistic Regression,0.2137,0,0.2137,0.0695,0.0885,0.0329,0.0628,0,0.0222,18.362,UMAP01_noPMA_100Features
Ridge Classifier,0.2131,0,0.2131,0.0704,0.0897,0.0364,0.0638,0,0.0225,0.164,UMAP01_noPMA_100Features
Light Gradient Boosting Machine,0.2107,0.6556,0.2107,0.1351,0.1481,0.1109,0.1176,0,0.058,167.72,UMAP01_noPMA_100Features
Dummy Classifier,0.2055,0.5,0.2055,0.0422,0.07,0,0,0,0.0119,0.192,UMAP01_noPMA_100Features
Extreme Gradient Boosting,0.2035,0.6599,0.2035,0.1332,0.1505,0.1141,0.1183,0,0.0607,45.436,UMAP01_noPMA_100Features
HistGradientBoostingClassifier,0.196,0,0.196,0.0672,0.091,0.038,0.0463,0,0.0225,49.446,UMAP01_noPMA_100Features
Ada Boost Classifier,0.1947,0,0.1947,0.0498,0.0757,0.007,0.0146,0,0.0199,11.392,UMAP01_noPMA_100Features
Random Forest Classifier,0.1885,0.6256,0.1885,0.143,0.1583,0.1199,0.121,0,0.0627,2.47,UMAP01_noPMA_100Features
K Neighbors Classifier,0.1803,0.5938,0.1803,0.1646,0.1626,0.1206,0.1217,0,0.061,0.38,UMAP01_noPMA_100Features
Extra Trees Classifier,0.1775,0.6182,0.1775,0.1512,0.1617,0.12,0.1203,0,0.0624,1.072,UMAP01_noPMA_100Features
Linear Discriminant Analysis,0.1733,0,0.1733,0.1182,0.1337,0.1023,0.1047,0,0.0613,0.244,UMAP01_noPMA_100Features
Decision Tree Classifier,0.1521,0.5586,0.1521,0.155,0.1529,0.1045,0.1045,0,0.0523,4.744,UMAP01_noPMA_100Features
Quadratic Discriminant Analysis,0.1474,0,0.1474,0.1673,0.1398,0.0939,0.0966,0,0.0318,1.022,UMAP01_noPMA_100Features
SVM - Linear Kernel,0.1087,0,0.1087,0.1785,0.1017,0.0593,0.0747,0,0.0268,0.572,UMAP01_noPMA_100Features
Naive Bayes,0.0881,0.6103,0.0881,0.2068,0.1095,0.0696,0.0725,0,0.0413,0.616,UMAP01_noPMA_100Features
CatBoost Classifier,0.2149,0.6665,0.2149,0.1338,0.1536,0.1231,0.1286,0,0.062,86.206,UMAP01_PMA_100Features
Ridge Classifier,0.2138,0,0.2138,0.0725,0.0918,0.0372,0.0651,0,0.022,0.164,UMAP01_PMA_100Features
Logistic Regression,0.2109,0,0.2109,0.0723,0.089,0.0321,0.0576,0,0.0204,17.538,UMAP01_PMA_100Features
Dummy Classifier,0.2055,0.5,0.2055,0.0422,0.07,0,0,0,0.0119,0.194,UMAP01_PMA_100Features
Light Gradient Boosting Machine,0.2049,0.6535,0.2049,0.1282,0.1455,0.1095,0.1148,0,0.0561,166.332,UMAP01_PMA_100Features
Extreme Gradient Boosting,0.2032,0.6591,0.2032,0.1349,0.1525,0.1172,0.1209,0,0.0588,46.202,UMAP01_PMA_100Features
Random Forest Classifier,0.1909,0.6296,0.1909,0.1433,0.1599,0.1229,0.124,0,0.0613,2.42,UMAP01_PMA_100Features
K Neighbors Classifier,0.1805,0.5938,0.1805,0.1602,0.1611,0.1203,0.1215,0,0.0576,0.388,UMAP01_PMA_100Features
Extra Trees Classifier,0.1782,0.6211,0.1782,0.1476,0.1598,0.1192,0.1196,0,0.0616,1.144,UMAP01_PMA_100Features
Quadratic Discriminant Analysis,0.1591,0,0.1591,0.1671,0.1434,0.0996,0.1023,0,0.0308,1.006,UMAP01_PMA_100Features
Linear Discriminant Analysis,0.1579,0,0.1579,0.1286,0.1296,0.0943,0.0979,0,0.0555,0.246,UMAP01_PMA_100Features
Decision Tree Classifier,0.1536,0.5587,0.1536,0.1512,0.1516,0.1045,0.1045,0,0.0505,4.626,UMAP01_PMA_100Features
Ada Boost Classifier,0.1435,0,0.1435,0.0473,0.0626,-0.0192,-0.0255,0,0.0153,11.438,UMAP01_PMA_100Features
HistGradientBoostingClassifier,0.1394,0,0.1394,0.1049,0.0965,0.0572,0.0617,0,0.0338,61.932,UMAP01_PMA_100Features
SVM - Linear Kernel,0.1048,0,0.1048,0.1912,0.1186,0.0744,0.0998,0,0.029,0.592,UMAP01_PMA_100Features
Naive Bayes,0.1004,0.6088,0.1004,0.1882,0.1175,0.0776,0.0823,0,0.0425,0.588,UMAP01_PMA_100Features
CatBoost Classifier,0.2492,0.7237,0.2492,0.202,0.2192,0.1935,0.1944,0,0.0712,91.868,UMAP01_Horiz_PMA+noPMA_100Features
Logistic Regression,0.2438,0,0.2438,0.1307,0.1613,0.1621,0.1803,0,0.0382,17.184,UMAP01_Horiz_PMA+noPMA_100Features
Extreme Gradient Boosting,0.2423,0.7229,0.2423,0.2113,0.2227,0.1901,0.1907,0,0.0687,46.034,UMAP01_Horiz_PMA+noPMA_100Features
Ridge Classifier,0.2387,0,0.2387,0.1126,0.1433,0.1449,0.1627,0,0.0331,0.164,UMAP01_Horiz_PMA+noPMA_100Features
Random Forest Classifier,0.2375,0.6728,0.2375,0.2118,0.2226,0.1879,0.1881,0,0.0677,2.424,UMAP01_Horiz_PMA+noPMA_100Features
K Neighbors Classifier,0.2371,0.6313,0.2371,0.2287,0.2256,0.1877,0.1892,0,0.0676,0.386,UMAP01_Horiz_PMA+noPMA_100Features
Extra Trees Classifier,0.2337,0.6637,0.2337,0.2199,0.2252,0.1866,0.1867,0,0.0677,1.114,UMAP01_Horiz_PMA+noPMA_100Features
Quadratic Discriminant Analysis,0.2207,0,0.2207,0.2109,0.1953,0.1628,0.1662,0,0.0385,0.978,UMAP01_Horiz_PMA+noPMA_100Features
Decision Tree Classifier,0.2164,0.5978,0.2164,0.2157,0.2151,0.1711,0.1712,0,0.0591,4.83,UMAP01_Horiz_PMA+noPMA_100Features
