Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Top 5 Accuracy,Balanced Accuracy,TT (Sec),Dataset
Extra Trees Classifier,0.4799,0.7881,0.4799,0.6097,0.4371,0.3599,0.4344,,,604.9,PMA_1177Features_solo
Light Gradient Boosting Machine,0.4761,0.8208,0.4761,0.5979,0.4357,0.3576,0.4263,,,876.5,PMA_1177Features_solo
Extreme Gradient Boosting,0.4652,0.8198,0.4652,0.4563,0.4197,0.3729,0.3956,,,716.355,PMA_1177Features_solo
Decision Tree Classifier,0.3812,0.6707,0.3812,0.373,0.3756,0.3292,0.3293,,,635.335,PMA_1177Features_solo
K Neighbors Classifier,0.3302,0.7015,0.3302,0.3259,0.3006,0.2496,0.2524,,,602.945,PMA_1177Features_solo
Ridge Classifier,0.2814,0,0.2814,0.2089,0.1478,0.056,0.1205,,,600.64,PMA_1177Features_solo
Linear Discriminant Analysis,0.2804,0,0.2804,0.285,0.2629,0.1932,0.1952,,,604.68,PMA_1177Features_solo
Logistic Regression,0.2653,0,0.2653,0.1167,0.123,0.0243,0.071,,,611.26,PMA_1177Features_solo
Dummy Classifier,0.2557,0.5,0.2557,0.0654,0.1041,0,0,,,600.285,PMA_1177Features_solo
Quadratic Discriminant Analysis,0.2554,0,0.2554,0.0656,0.1044,0.0013,0.0102,,,608.575,PMA_1177Features_solo
Ada Boost Classifier,0.217,0,0.217,0.0609,0.0935,-0.0331,-0.083,,,678.95,PMA_1177Features_solo
SVM - Linear Kernel,0.18,0,0.18,0.3222,0.1846,0.1234,0.1443,,,602.38,PMA_1177Features_solo
Naive Bayes,0.1333,0.605,0.1333,0.2982,0.1703,0.1039,0.1096,,,607.56,PMA_1177Features_solo
HistGradientBoostingClassifier,0.0635,0,0.0635,0.1418,0.0779,0.0322,0.0329,,,724.255,PMA_1177Features_solo
