,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Dataset
49,Random Forest Classifier,0.229,0.6282,0.229,0.1581,0.1827,0.1164,0.119,2.576,UMAP01_noPMA_100Features
50,Extra Trees Classifier,0.2063,0.6218,0.2063,0.1641,0.181,0.1124,0.1131,0.994,UMAP01_noPMA_100Features
51,K Neighbors Classifier,0.2092,0.5963,0.2092,0.1714,0.1805,0.1101,0.1116,0.378,UMAP01_noPMA_100Features
52,Extreme Gradient Boosting,0.2505,0.658,0.2505,0.1468,0.1746,0.1034,0.1122,30.622,UMAP01_noPMA_100Features
53,Linear Discriminant Analysis,0.2473,0.0,0.2473,0.1169,0.1422,0.0573,0.0719,0.228,UMAP01_noPMA_100Features
54,Decision Tree Classifier,0.1717,0.5586,0.1717,0.1743,0.1724,0.1001,0.1001,4.818,UMAP01_noPMA_100Features
55,Naive Bayes,0.0937,0.6069,0.0937,0.2746,0.1202,0.071,0.0754,0.586,UMAP01_noPMA_100Features
56,Light Gradient Boosting Machine,0.2349,0.6201,0.2349,0.1297,0.1535,0.0697,0.0783,159.398,UMAP01_noPMA_100Features
57,Logistic Regression,0.2801,0.0,0.2801,0.1192,0.1359,0.0356,0.0872,5.164,UMAP01_noPMA_100Features
58,Ridge Classifier,0.278,0.0,0.278,0.1143,0.1329,0.0322,0.0801,0.158,UMAP01_noPMA_100Features
59,SVM - Linear Kernel,0.1576,0.0,0.1576,0.1405,0.1398,0.0646,0.0664,0.902,UMAP01_noPMA_100Features
60,Quadratic Discriminant Analysis,0.1463,0.0,0.1463,0.1756,0.1462,0.077,0.0794,0.84,UMAP01_noPMA_100Features
61,Ada Boost Classifier,0.2391,0.0,0.2391,0.0749,0.1107,0.0021,0.0037,12.238,UMAP01_noPMA_100Features
62,HistGradientBoostingClassifier,0.1354,0.0,0.1354,0.1105,0.1025,0.0268,0.0339,27.298,UMAP01_noPMA_100Features
63,Dummy Classifier,0.2666,0.5,0.2666,0.0711,0.1122,0.0,0.0,0.188,UMAP01_noPMA_100Features
64,CatBoost Classifier,0.2139,0.6678,0.2139,0.1325,0.1539,0.1244,0.1295,64.674,UMAP01_PMA_100Features
65,Extra Trees Classifier,0.1768,0.6226,0.1768,0.1514,0.1619,0.121,0.1212,1.332,UMAP01_PMA_100Features
66,Random Forest Classifier,0.1869,0.6278,0.1869,0.1437,0.1593,0.1222,0.123,2.624,UMAP01_PMA_100Features
67,Extreme Gradient Boosting,0.1999,0.6625,0.1999,0.1329,0.1521,0.1177,0.1207,31.792,UMAP01_PMA_100Features
68,K Neighbors Classifier,0.178,0.5955,0.178,0.1606,0.1592,0.1183,0.1195,0.414,UMAP01_PMA_100Features
69,Linear Discriminant Analysis,0.1468,0.0,0.1468,0.1261,0.1269,0.0882,0.0913,0.26,UMAP01_PMA_100Features
70,Light Gradient Boosting Machine,0.2026,0.6594,0.2026,0.1289,0.1466,0.112,0.1164,199.038,UMAP01_PMA_100Features
71,Decision Tree Classifier,0.1539,0.5592,0.1539,0.1512,0.152,0.1054,0.1054,5.02,UMAP01_PMA_100Features
72,Naive Bayes,0.0961,0.6274,0.0961,0.1853,0.1144,0.0743,0.0776,0.67,UMAP01_PMA_100Features
73,SVM - Linear Kernel,0.1559,0.0,0.1559,0.1226,0.1283,0.0881,0.0902,0.956,UMAP01_PMA_100Features
74,Quadratic Discriminant Analysis,0.1551,0.0,0.1551,0.1568,0.1406,0.0977,0.1009,1.11,UMAP01_PMA_100Features
75,Logistic Regression,0.2187,0.0,0.2187,0.083,0.0988,0.0451,0.0786,4.35,UMAP01_PMA_100Features
76,Ridge Classifier,0.2192,0.0,0.2192,0.0788,0.0983,0.0505,0.0819,0.182,UMAP01_PMA_100Features
77,HistGradientBoostingClassifier,0.1734,0.0,0.1734,0.0806,0.0922,0.0366,0.042,58.796,UMAP01_PMA_100Features
78,Ada Boost Classifier,0.1467,0.0,0.1467,0.0448,0.0611,-0.0257,-0.0412,11.764,UMAP01_PMA_100Features
79,Dummy Classifier,0.2045,0.5,0.2045,0.0418,0.0694,0.0,0.0,0.21,UMAP01_PMA_100Features
80,CatBoost Classifier,0.2543,0.7279,0.2543,0.2011,0.2222,0.1992,0.2002,65.524,Horiz_UMAP01_PMA+noPMA_100Features
81,Random Forest Classifier,0.2417,0.6773,0.2417,0.2159,0.2267,0.1929,0.1932,2.566,Horiz_UMAP01_PMA+noPMA_100Features
82,K Neighbors Classifier,0.2401,0.6333,0.2401,0.2336,0.2287,0.191,0.1924,0.406,Horiz_UMAP01_PMA+noPMA_100Features
83,Extra Trees Classifier,0.2324,0.6626,0.2324,0.2186,0.2238,0.1857,0.1858,1.328,Horiz_UMAP01_PMA+noPMA_100Features
84,Extreme Gradient Boosting,0.239,0.7241,0.239,0.2097,0.2204,0.1875,0.188,31.722,Horiz_UMAP01_PMA+noPMA_100Features
85,Light Gradient Boosting Machine,0.2447,0.7175,0.2447,0.2064,0.2187,0.1896,0.1907,205.786,Horiz_UMAP01_PMA+noPMA_100Features
86,Linear Discriminant Analysis,0.206,0.0,0.206,0.2314,0.2031,0.1625,0.1713,0.286,Horiz_UMAP01_PMA+noPMA_100Features
87,Decision Tree Classifier,0.2178,0.5987,0.2178,0.2158,0.216,0.1731,0.1732,4.986,Horiz_UMAP01_PMA+noPMA_100Features
88,Naive Bayes,0.1421,0.6872,0.1421,0.2096,0.1553,0.115,0.1198,0.676,Horiz_UMAP01_PMA+noPMA_100Features
89,Logistic Regression,0.2469,0.0,0.2469,0.1421,0.1702,0.1685,0.1871,3.47,Horiz_UMAP01_PMA+noPMA_100Features
90,HistGradientBoostingClassifier,0.1461,0.0,0.1461,0.1869,0.1476,0.1059,0.1175,58.508,Horiz_UMAP01_PMA+noPMA_100Features
91,Ridge Classifier,0.2384,0.0,0.2384,0.1082,0.1398,0.1409,0.1589,0.178,Horiz_UMAP01_PMA+noPMA_100Features
92,SVM - Linear Kernel,0.2074,0.0,0.2074,0.1773,0.1827,0.1525,0.1565,0.898,Horiz_UMAP01_PMA+noPMA_100Features
93,Quadratic Discriminant Analysis,0.2162,0.0,0.2162,0.1788,0.1769,0.1528,0.1567,1.122,Horiz_UMAP01_PMA+noPMA_100Features
94,Ada Boost Classifier,0.16,0.0,0.16,0.121,0.1166,0.0736,0.089,11.712,Horiz_UMAP01_PMA+noPMA_100Features
95,Dummy Classifier,0.2045,0.5,0.2045,0.0418,0.0694,0.0,0.0,0.208,Horiz_UMAP01_PMA+noPMA_100Features
96,CatBoost Classifier,0.2619,0.7134,0.2619,0.1579,0.1712,0.153,0.1696,115.982,FeatRed08_PMA_482Features
97,Linear Discriminant Analysis,0.1825,0.0,0.1825,0.1907,0.166,0.1204,0.1263,0.886,FeatRed08_PMA_482Features
98,Extreme Gradient Boosting,0.246,0.6964,0.246,0.1455,0.1654,0.1415,0.154,42.636,FeatRed08_PMA_482Features
99,K Neighbors Classifier,0.1895,0.6019,0.1895,0.1656,0.1601,0.1189,0.1208,0.612,FeatRed08_PMA_482Features
100,SVM - Linear Kernel,0.1624,0.0,0.1624,0.1903,0.1592,0.1153,0.1559,0.482,FeatRed08_PMA_482Features
101,Naive Bayes,0.1212,0.6228,0.1212,0.2318,0.1491,0.0979,0.1079,1.424,FeatRed08_PMA_482Features
102,Light Gradient Boosting Machine,0.2515,0.6933,0.2515,0.1508,0.1489,0.1125,0.1441,193.372,FeatRed08_PMA_482Features
103,Random Forest Classifier,0.2496,0.6668,0.2496,0.1371,0.1488,0.1175,0.1437,3.914,FeatRed08_PMA_482Features
